Турнир;Пара туров;Команды;Сумма
ЧР 2017;1 и 2;1. Борский корабел (59) и 2. Рабочее название (58);21
ЧР 2017;1 и 3;3. Команда Губанова (57);20
ЧР 2017;1 и 4;1. Борский корабел (59) и 4. Сборная Кирибати (51);22
ЧР 2017;1 и 5;1. Борский корабел (59);22
ЧР 2017;1 и 6;5. Мираж (50);19
ЧР 2017;2 и 3;3. Команда Губанова (57);22
ЧР 2017;2 и 4;2. Рабочее название (58) и 9. ТПРУНЯ (47);24
ЧР 2017;2 и 5;1. Борский корабел (59);23
ЧР 2017;2 и 6;5. Мираж (50);23
ЧР 2017;3 и 4;3. Команда Губанова (57);23
ЧР 2017;3 и 5;2. Рабочее название (58);19
ЧР 2017;3 и 6;3. Команда Губанова (57) и 5. Мираж (50);18
ЧР 2017;4 и 5;1. Борский корабел (59);24
ЧР 2017;4 и 6;1. Борский корабел (59);20
ЧР 2017;5 и 6;1. Борский корабел (59);20
ЧР 2016;1 и 2;3. Мираж (56);20
ЧР 2016;1 и 3;2. Рабочее название (57);22
ЧР 2016;1 и 4;1. Борский корабел (60);20
ЧР 2016;1 и 5;6. Афина (51);18
ЧР 2016;1 и 6;1. Борский корабел (60) и 2. Рабочее название (57);21
ЧР 2016;2 и 3;1. Борский корабел (60) и 2. Рабочее название (57) и 5. Ксеп (53);20
ЧР 2016;2 и 4;3. Мираж (56);20
ЧР 2016;2 и 5;3. Мираж (56);19
ЧР 2016;2 и 6;3. Мираж (56) и 4. Эрудиты (55);22
ЧР 2016;3 и 4;1. Борский корабел (60);25
ЧР 2016;3 и 5;1. Борский корабел (60);20
ЧР 2016;3 и 6;1. Борский корабел (60);26
ЧР 2016;4 и 5;11. Eclipse (46);20
ЧР 2016;4 и 6;1. Борский корабел (60);25
ЧР 2016;5 и 6;4. Эрудиты (55);22
ЧР 2015;1 и 2;3. Рабочее название (57);23
ЧР 2015;1 и 3;1. Команда Губанова (59);23
ЧР 2015;1 и 4;4. Ла Скала (55);20
ЧР 2015;1 и 5;1. Команда Губанова (59) и 3. Рабочее название (57) и 7. Сборная Кирибати (50);20
ЧР 2015;1 и 6;4. Ла Скала (55);22
ЧР 2015;2 и 3;1. Команда Губанова (59);23
ЧР 2015;2 и 4;2. Ксеп (58) и 3. Рабочее название (57);20
ЧР 2015;2 и 5;2. Ксеп (58) и 3. Рабочее название (57);21
ЧР 2015;2 и 6;2. Ксеп (58) и 4. Ла Скала (55);20
ЧР 2015;3 и 4;1. Команда Губанова (59);21
ЧР 2015;3 и 5;1. Команда Губанова (59);23
ЧР 2015;3 и 6;1. Команда Губанова (59);21
ЧР 2015;4 и 5;2. Ксеп (58);21
ЧР 2015;4 и 6;2. Ксеп (58);20
